ObjNum	OriginX	OriginY	OriginZ	Pitch	Roll	Yaw	Solid	Flags	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-1368,92	-859,28	83,26	0	0	0	6	16	0	0	models/scenery/structural/conflight/conflight.mdl
1	-1602,65	-754,553	118,061	0	179,5	0	0	1	1536	2048	models/scenery/structural/italian/table.mdl
2	-1647,15	-754,108	118	0	1,5	0	6	0	0	0	models/scenery/furniture/chair/library_chair_wood.mdl
3	-1624,15	-791,108	118	0	89,5	0	6	0	0	0	models/scenery/furniture/chair/library_chair_wood.mdl
4	-1579,15	-791,108	118	0	88,5	0	6	0	0	0	models/scenery/furniture/chair/library_chair_wood.mdl
5	-1601,15	-754,108	160,985	0	270	0	3	1	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
6	-1511,02	-750,108	161	0	270	0	3	1	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
7	-1509,5	-754,553	118,061	0	179,5	0	0	1	1536	2048	models/scenery/structural/italian/table.mdl
8	-1532	-792,304	118,003	0	89,5	0	6	0	0	0	models/scenery/furniture/chair/library_chair_wood.mdl
9	-1486,75	-793,119	118,003	0	88,5	0	6	0	0	0	models/scenery/furniture/chair/library_chair_wood.mdl
10	-1464	-754,108	118	0	179,5	0	6	0	0	0	models/scenery/furniture/chair/library_chair_wood.mdl
11	-1788,85	-749,108	161	0	270	0	3	1	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
12	-1802,73	-763,993	160	0	270	0	3	1	2250	2500	models/scenery/misc/plates/plate2.mdl
13	-1773,73	-763,993	160	0	270	0	3	1	2250	2500	models/scenery/misc/plates/plate2.mdl
14	-1773,73	-734,993	160	0	270	0	3	1	2250	2500	models/scenery/misc/plates/plate2.mdl
15	-1802,73	-734,993	160	0	270	0	3	1	2250	2500	models/scenery/misc/plates/plate2.mdl
16	-1788,35	-754,553	118,061	0	179,5	0	0	1	1536	2048	models/scenery/structural/italian/table.mdl
17	-1813	-795,108	118	0	89,5	0	6	0	0	0	models/scenery/furniture/chair/library_chair_wood.mdl
18	-1768	-794,108	118	0	88,5	0	6	0	0	0	models/scenery/furniture/chair/library_chair_wood.mdl
19	-1744,85	-754,108	118	0	179,5	0	6	0	0	0	models/scenery/furniture/chair/library_chair_wood.mdl
20	-1853,01	-793,108	118	0	88,5	0	6	0	0	0	models/scenery/furniture/chair/library_chair_wood.mdl
21	-1898,01	-793,108	118	0	89,5	0	6	0	0	0	models/scenery/furniture/chair/library_chair_wood.mdl
22	-1891,89	-764,223	160	0	270	0	3	1	2250	2500	models/scenery/misc/plates/plate2.mdl
23	-1862,89	-764,223	160	0	270	0	3	1	2250	2500	models/scenery/misc/plates/plate2.mdl
24	-1862,89	-735,223	160	0	270	0	3	1	2250	2500	models/scenery/misc/plates/plate2.mdl
25	-1891,89	-735,223	160	0	270	0	3	1	2250	2500	models/scenery/misc/plates/plate2.mdl
26	-1921,01	-753,108	118	0	1,5	0	6	0	0	0	models/scenery/furniture/chair/library_chair_wood.mdl
27	-1876,51	-753,553	118,061	0	179,5	0	0	1	1536	2048	models/scenery/structural/italian/table.mdl
28	-1878,01	-749,338	160,985	0	270	0	3	1	2250	2500	models/scenery/furniture/ascandle/ascandle.mdl
29	-1971,29	-1195,71	-31,5988	0	0	0	6	2	0	0	models/scenery/structural/chateau/column.mdl
30	-1712,29	-1195,71	-31,5988	0	0	0	6	0	0	0	models/scenery/structural/chateau/column.mdl
31	-1584,29	-1195,71	-31,5988	0	0	0	6	0	0	0	models/scenery/structural/chateau/column.mdl
32	-1456,29	-1195,71	-31,5988	0	0	0	6	0	0	0	models/scenery/structural/chateau/column.mdl
33	-1327,29	-1195,71	-31,5988	0	0	0	6	0	0	0	models/scenery/structural/chateau/column.mdl
34	-1896	-1058	392	0	90	0	6	16	0	0	models/scenery/structural/chateau/cmcarch.mdl
35	-1768	-1058	392	0	90	0	6	16	0	0	models/scenery/structural/chateau/cmcarch.mdl
36	-1640	-1058	392	0	90	0	6	16	0	0	models/scenery/structural/chateau/cmcarch.mdl
37	-1844	-1952	175	0	60	0	6	16	0	0	models/scenery/plants/tree/tree_big.mdl
38	-1714	-2228,13	14,4706	10,5453	315,993	10,7286	6	16	0	0	models/scenery/plants/tree/tree_mid.mdl
39	-2098	-1896	35	10,5453	275,993	10,7286	6	16	0	0	models/scenery/plants/tree/tree_mid.mdl
40	-1924	-1613	175	0	320	0	6	16	0	0	models/scenery/plants/tree/tree_big.mdl
41	-1521	-1873	65	0	90	0	6	16	0	0	models/scenery/plants/tree/tree_mid.mdl
42	-1350	-1728,31	36,5097	0	0	0	6	16	0	0	models/scenery/plants/pine/pine_small.mdl
43	-1378	-1614,31	41,5097	0	0	0	6	0	0	0	models/scenery/plants/pine/pine_small.mdl
44	-1386	-1454,31	36,5097	0	0	0	6	0	0	0	models/scenery/plants/pine/pine_small.mdl
45	-2071	-1400	69	-4,45252	7,97896	10,4708	6	16	0	0	models/scenery/plants/tree/tree_mid.mdl
46	-2814	-1790	-596	0	0	0	6	16	0	0	models/scenery/misc/rocks/indiva.mdl
47	-2698	-2048	-444	0	0	0	6	16	0	0	models/scenery/misc/rocks/indivb.mdl
48	-2640	-2574	-314	0	0	0	6	0	0	0	models/scenery/misc/rocks/indivc.mdl
49	-2619	-2490	-238,085	0	0	0	6	0	0	0	models/scenery/misc/rocks/covermed.mdl
50	-2600	-2816	-246	0	345	0	6	0	0	0	models/scenery/misc/rocks/coverlow.mdl
51	-2840	-3177	-271,744	0	0	0	6	0	0	0	models/scenery/misc/rocks/covermed.mdl
52	-2626	-1516	-166	0	180	0	6	0	0	0	models/scenery/misc/rocks/covermed.mdl
53	-2891	-486	-383	0	285	0	6	0	0	0	models/scenery/misc/rocks/indivb.mdl
54	-2825	-1793	-52	15	180	0	6	16	0	0	models/scenery/plants/tree/tree_big.mdl
55	-2738	-3078	-85	0	0	0	6	16	0	0	models/scenery/plants/tree/tree_mid.mdl
56	-3120	-187,977	515	0	0	15	6	0	0	0	models/scenery/plants/tree/tree_mid.mdl
57	-6414	3255	290	0	120	0	0	16	0	0	models/scenery/structural/asphole/bilboardasky.mdl
58	-6522	3197	307	0	75	0	0	16	0	0	models/scenery/structural/asphole/bilboardasky.mdl
59	-2772	-1288	-928	0	0	0	6	16	0	0	models/scenery/misc/rocks/facea.mdl
60	-2948,53	-570	-1048,29	0	75	0	6	0	0	0	models/scenery/misc/rocks/indiva.mdl
61	-3104	-508	-950	0	75	0	6	0	0	0	models/scenery/misc/rocks/indivb.mdl
62	-3258,53	-492	-1044,29	0	45	0	6	0	0	0	models/scenery/misc/rocks/indiva.mdl
63	-3440,53	-388	-1044,29	0	240	0	6	0	0	0	models/scenery/misc/rocks/indiva.mdl
64	-3544	-346	-894	0	90	0	6	0	0	0	models/scenery/misc/rocks/indivb.mdl
65	-3540	-442	-1174	0	90	0	6	0	0	0	models/scenery/misc/rocks/indivb.mdl
66	-3104	-540	-1246	0	75	0	6	0	0	0	models/scenery/misc/rocks/indivb.mdl
67	-3558	-596,284	-1308	0	0	0	6	0	0	0	models/scenery/misc/rocks/indivc.mdl
68	-3426	-596,284	-1306	0	300	0	6	0	0	0	models/scenery/misc/rocks/indivc.mdl
69	-3290	-596,284	-1300	0	45	0	6	0	0	0	models/scenery/misc/rocks/indivc.mdl
70	-3152	-596,284	-1302	0	0	0	6	0	0	0	models/scenery/misc/rocks/indivc.mdl
71	-3040	-594	-1302	0	315	0	6	0	0	0	models/scenery/misc/rocks/indivc.mdl
72	-2944	-3407	-277	0	90	105	6	0	0	0	models/scenery/misc/rocks/coverlow.mdl
73	-1460	-2034	-89	0	90	0	6	0	0	0	models/scenery/structural/chateau/cm_deco1.mdl
74	-1442	-2239,56	-27,6216	0	315	0	6	0	0	0	models/scenery/plants/tree/tree_mid.mdl
75	-2087,69	-2306,34	-215,967	0	90	0	6	0	0	0	models/scenery/street/mailbox/mailbox.mdl
76	-1777,95	-1193,75	-110	0	75	0	6	0	0	0	models/scenery/plants/planthotel/planthotel.mdl
