ObjNum	OriginX	OriginY	OriginZ	Pitch	Roll	Yaw	Solid	Flags	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-271	-1662	-674	0	180	0	0	16	0	0	models/scenery/structural/SewerParts/Standard_Sewer_Arch.mdl
1	-439	-1830	-674	0	270	0	0	16	0	0	models/scenery/structural/SewerParts/Standard_Sewer_Arch.mdl
2	554	-732	-369,8	0	90	-180	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P10.mdl
3	554	-732	-369	0	270	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P3.mdl
4	554	-476	-369,8	0	270	180	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P10.mdl
5	551,079	-1637,85	-509,2	0	270	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P3.mdl
6	551,079	-1381,85	-510	0	270	180	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P10.mdl
7	406	-163,5	-447,474	0	0	-180	0	0	0	0	models/scenery/structural/hollywood/overpasspipes.mdl
8	398	-162	-528	0	0	-180	0	0	0	0	models/scenery/structural/hollywood/overpasspipes.mdl
9	405,97	-83	-447,474	0	0	-180	0	0	0	0	models/scenery/structural/hollywood/overpasspipes.mdl
10	398	-34	-528	0	0	-180	0	0	0	0	models/scenery/structural/hollywood/overpasspipes.mdl
11	530	179	-349	90	0	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
12	530	37	-349	90	0	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
13	545,597	110,983	-382,597	90	0	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
14	545,597	-31,0173	-382,597	90	0	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
15	-530	-2044	-616	-90	270	0	0	16	0	0	models/scenery/pipes/VALVE_WHEEL/valve_wheel.mdl
16	-556,637	-1916,92	-681	90	0	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P3.mdl
17	-556,637	-1980,92	-616	0	270	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P10.mdl
18	-556,637	-2107,92	-616	0	270	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P4.mdl
19	-556,637	-2107,92	-616	0	90	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P10.mdl
20	532	-2401	-610	-90	0	0	0	16	0	0	models/scenery/pipes/VALVE_WHEEL/valve_wheel.mdl
21	679	-2358	-609,799	-90	50	0	0	16	0	0	models/scenery/pipes/VALVE_WHEEL/valve_wheel.mdl
22	553	-67,7085	-535	0	90	0	6	0	0	0	models/scenery/structural/sewerparts/sewerarchstandard.mdl
23	305,767	-589	-349	90	90	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
24	578	-505	-349	90	0	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
25	530	-531	-349	90	0	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
26	620,467	-758,99	-349	90	0	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
27	530,767	-957	-349	90	0	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
28	578	-363,02	-349	90	0	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
29	546	-193,98	-349	90	0	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
30	530	-104,98	-349	90	0	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
31	406,04	-291,61	-447,474	0	0	-180	0	0	0	0	models/scenery/structural/hollywood/overpasspipes.mdl
32	398	-290	-528	0	0	-180	0	0	0	0	models/scenery/structural/hollywood/overpasspipes.mdl
33	591,767	-844	-575	0	270	90	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
34	704,767	-844	-491,701	0	270	-180	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
35	620,767	-844	-408	0	270	-90	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
36	397	-775	-527	0	0	-180	0	0	0	0	models/scenery/structural/hollywood/overpasspipes.mdl
37	398	-841	-527	0	0	-180	0	0	0	0	models/scenery/structural/hollywood/overpasspipes.mdl
38	403,397	-775	-446,474	0	0	-180	0	0	0	0	models/scenery/structural/hollywood/overpasspipes.mdl
39	403	-856	-446,474	0	0	-180	0	0	0	0	models/scenery/structural/hollywood/overpasspipes.mdl
40	405,97	116,48	-447,474	0	0	-180	0	0	0	0	models/scenery/structural/hollywood/overpasspipes.mdl
41	406,01	-11,6299	-447,474	0	0	-180	0	0	0	0	models/scenery/structural/hollywood/overpasspipes.mdl
42	398	94	-528	0	0	-180	0	0	0	0	models/scenery/structural/hollywood/overpasspipes.mdl
43	694,364	-396,06	-539	90	180	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P3.mdl
44	552	-2094	-675	0	270	0	0	16	0	0	models/scenery/structural/sewerparts/standard_sewer_arch.mdl
45	-440	-2194,78	-675	0	90	0	0	0	0	0	models/scenery/structural/sewer/busted.mdl
46	552	-1274	-672	0	270	0	0	0	0	0	models/scenery/structural/sewerparts/sewerarchstandard.mdl
47	697	-1673	-655	0	0	90	6	2	0	0	models/scenery/structural/sewerpipes/pipemed_p4.mdl
48	601	-1705	-719	0	270	180	6	2	0	0	models/scenery/structural/sewerpipes/pipemed_p5.mdl
49	633	-1673	-655	0	0	0	6	2	0	0	models/scenery/structural/sewerpipes/pipemed_p10.mdl
50	601	-1132	-719	0	90	0	6	2	0	0	models/scenery/structural/sewerpipes/pipemed_p1.mdl
51	617	-1116,32	-720	0	0	-90	6	2	0	0	models/scenery/structural/sewerpipes/pipemed_p9.mdl
52	601	-1704	-719	0	90	90	6	2	0	0	models/scenery/structural/sewerpipes/pipemed_p4.mdl
53	601	-1767,25	-719	0	90	-90	6	2	0	0	models/scenery/structural/sewerpipes/pipemed_p9.mdl
54	494	-1956	-717	90	0	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P3.mdl
55	550	-1557	-509	0	90	90	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P10.mdl
56	550	-1778	-509	0	270	-90	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P10.mdl
57	550,921	-1638	-509,2	0	90	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P3.mdl
58	550,921	-1894	-510	0	90	-180	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P10.mdl
59	486	-1714	-509,2	0	0	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P3.mdl
60	230	-1714	-509,2	0	0	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P3.mdl
