ObjNum	OriginX	OriginY	OriginZ	Pitch	Roll	Yaw	Solid	Flags	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-809,509	-1635,42	-268,421	0	180	0	6	1	6000	7000	models/scenery/structural/gio_rail/endpiece.mdl
1	-889,018	-1635,84	-273,842	0	90	0	6	1	6000	7000	models/scenery/structural/gio_rail/railing.mdl
2	-968,526	-1635,42	-268,421	0	180	0	6	1	6000	7000	models/scenery/structural/gio_rail/endpiece.mdl
3	412	-386	384	0	180	0	6	0	0	0	models/scenery/structural/malkavian/malkcolumnc.mdl
4	412	-306	384	0	180	0	6	0	0	0	models/scenery/structural/malkavian/malkcolumnc.mdl
5	412	-226	384	0	180	0	6	0	0	0	models/scenery/structural/malkavian/malkcolumnc.mdl
6	412	-146	384	0	180	0	6	0	0	0	models/scenery/structural/malkavian/malkcolumnc.mdl
7	412	-66	384	0	180	0	6	0	0	0	models/scenery/structural/malkavian/malkcolumnc.mdl
8	532	-66	384	0	0	0	6	0	0	0	models/scenery/structural/malkavian/malkcolumnc.mdl
9	532	-146	384	0	0	0	6	0	0	0	models/scenery/structural/malkavian/malkcolumnc.mdl
10	532	-226	384	0	0	0	6	0	0	0	models/scenery/structural/malkavian/malkcolumnc.mdl
11	532	-306	384	0	0	0	6	0	0	0	models/scenery/structural/malkavian/malkcolumnc.mdl
12	532	-386	384	0	0	0	6	0	0	0	models/scenery/structural/malkavian/malkcolumnc.mdl
13	-1182	-1395	-38	0	90	0	6	1	6000	7000	models/scenery/structural/giocolumn/giocolumn3.mdl
14	-1023	-1634	-38	0	90	0	6	1	6000	7000	models/scenery/structural/giocolumn/giocolumn3.mdl
15	-1021,83	-1174,17	-37	0	90	0	6	1	6000	7000	models/scenery/structural/giocolumn/giocolumn3.mdl
16	-755	-1634	-38	0	90	0	6	1	6000	7000	models/scenery/structural/giocolumn/giocolumn3.mdl
17	-583	-1404	-38	0	90	0	6	1	6000	7000	models/scenery/structural/giocolumn/giocolumn3.mdl
18	-753,825	-1174,17	-37	0	90	0	6	1	6000	7000	models/scenery/structural/giocolumn/giocolumn3.mdl
19	-888,157	-1020,16	-195	0	270	0	0	0	0	0	models/scenery/structural/Ventrue_Tower/ballroomcolumnb4.mdl
20	-1272,16	-1404,16	-195	0	0	0	0	0	0	0	models/scenery/structural/Ventrue_Tower/ballroomcolumnb4.mdl
21	-888,157	-1788,16	-195	0	90	0	0	0	0	0	models/scenery/structural/Ventrue_Tower/ballroomcolumnb4.mdl
22	-504,157	-1404,16	-195	0	180	0	0	0	0	0	models/scenery/structural/Ventrue_Tower/ballroomcolumnb4.mdl
23	-887	-1405	-214	0	90	0	6	0	0	0	models/scenery/structural/cemetery/tomba.mdl
24	-808,299	-1173,59	-267,579	0	180	0	6	1	6000	7000	models/scenery/structural/gio_rail/endpiece.mdl
25	-887,808	-1174,01	-273	0	90	0	6	1	6000	7000	models/scenery/structural/gio_rail/railing.mdl
26	-967,316	-1173,59	-267,579	0	180	0	6	1	6000	7000	models/scenery/structural/gio_rail/endpiece.mdl
27	-720	-1065	-267	0	60	0	6	1	6000	7000	models/scenery/structural/gio_rail/endpiece.mdl
28	-1064	-1072	-267	0	-60	0	6	1	6000	7000	models/scenery/structural/gio_rail/endpiece.mdl
29	-959	-1776	-264	0	0	0	6	1	6000	7000	models/scenery/structural/gio_rail/endpiece.mdl
30	-815	-1776	-264	0	0	0	6	1	6000	7000	models/scenery/structural/gio_rail/endpiece.mdl
31	-512	-1463	-264	0	90	0	6	1	6000	7000	models/scenery/structural/gio_rail/endpiece.mdl
32	-512	-1345	-264	0	90	0	6	1	6000	7000	models/scenery/structural/gio_rail/endpiece.mdl
33	-1262	-1336	-264	0	90	0	6	1	6000	7000	models/scenery/structural/gio_rail/endpiece.mdl
34	-1262	-1454	-264	0	90	0	6	1	6000	7000	models/scenery/structural/gio_rail/endpiece.mdl
35	-60	824	89	0	0	0	6	0	0	0	models/scenery/structural/malkavian/malkcolumnc.mdl
36	-180	828	89	0	0	0	6	0	0	0	models/scenery/structural/malkavian/malkcolumnc.mdl
37	0	0	0	0	0	0	0	0	0	0	models/scenery/structural/gio_rail/endpiece.mdl
