ObjNum	OriginX	OriginY	OriginZ	Pitch	Roll	Yaw	Solid	Flags	FadeMinDist	FadeMaxDist	PropTypeEntry
0	177,054	45,9298	22	0	0	0	0	0	0	0	models/scenery/misc/609handle/609handle.mdl
1	182,453	45,9298	22	0	0	0	0	0	0	0	models/scenery/misc/609handle/609handle.mdl
2	215,254	45,9298	22	0	0	0	0	0	0	0	models/scenery/misc/609handle/609handle.mdl
3	219,83	45,9298	22	0	0	0	0	0	0	0	models/scenery/misc/609handle/609handle.mdl
4	254,754	45,9298	22	0	0	0	0	0	0	0	models/scenery/misc/609handle/609handle.mdl
5	259,903	45,9298	22	0	0	0	0	0	0	0	models/scenery/misc/609handle/609handle.mdl
6	293,403	45,9298	22	0	0	0	0	0	0	0	models/scenery/misc/609handle/609handle.mdl
7	298,443	45,9298	22	0	0	0	0	0	0	0	models/scenery/misc/609handle/609handle.mdl
8	138,87	45,9298	22	0	0	0	0	0	0	0	models/scenery/misc/609handle/609handle.mdl
9	144,269	45,9298	22	0	0	0	0	0	0	0	models/scenery/misc/609handle/609handle.mdl
10	106,084	45,9308	22	0	0	0	0	0	0	0	models/scenery/misc/609handle/609handle.mdl
11	100,685	45,9308	22	0	0	0	0	0	0	0	models/scenery/misc/609handle/609handle.mdl
12	200,746	-535	25	0	0	0	0	16	0	0	models/scenery/misc/609handle/609handle.mdl
13	195,346	-535	25	0	0	0	0	16	0	0	models/scenery/misc/609handle/609handle.mdl
14	227,3	98,76	23	0	180	0	0	16	0	0	models/scenery/misc/609handle/609handle.mdl
15	232,7	98,76	23	0	180	0	0	16	0	0	models/scenery/misc/609handle/609handle.mdl
16	265,5	98,76	23	0	180	0	0	16	0	0	models/scenery/misc/609handle/609handle.mdl
17	270,076	98,76	23	0	180	0	0	16	0	0	models/scenery/misc/609handle/609handle.mdl
18	305	98,76	23	0	180	0	0	16	0	0	models/scenery/misc/609handle/609handle.mdl
19	309,15	98,76	23	0	180	0	0	16	0	0	models/scenery/misc/609handle/609handle.mdl
20	342,65	98,76	23	0	180	0	0	16	0	0	models/scenery/misc/609handle/609handle.mdl
21	347,69	98,76	23	0	180	0	0	16	0	0	models/scenery/misc/609handle/609handle.mdl
22	104,049	112,634	38,0565	0	-180	0	6	1	1500	2000	models/scenery/furniture/ovena/ovenb.mdl
23	146,049	112,634	38,0565	0	180	0	6	1	1500	2000	models/scenery/furniture/ovena/ovenb.mdl
24	188,049	112,634	38,0565	0	-180	0	6	1	1500	2000	models/scenery/furniture/ovena/ovenb.mdl
25	395,087	-208,079	126	0	135	0	6	0	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
26	395	5,9208	126	0	135	0	6	0	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
27	521,163	-353,347	0	0	180	0	6	0	0	0	models/scenery/furniture/sink2/sink2.mdl
28	510,405	-404,36	19,1938	0	180	0	6	0	0	0	models/scenery/furniture/toileta/toileta.mdl
29	521,163	-485,347	0	0	180	0	6	0	0	0	models/scenery/furniture/sink2/sink2.mdl
30	511,405	-535,36	19,1938	0	180	0	6	0	0	0	models/scenery/furniture/toileta/toileta.mdl
31	166,158	-209,006	14,0031	0	350,5	0	6	1	1024	1800	models/scenery/furniture/tablecafe/tablecafe.mdl
32	349,055	112,841	63,7409	0	270	0	6	0	0	0	models/scenery/furniture/SodaFountain/SodaFountain.mdl
33	96,1814	-211,568	1	0	360	0	6	0	0	0	models/scenery/misc/trashcafe/trashcafe.mdl
34	398	114	0	0	270	0	6	0	0	0	models/scenery/misc/trashtrestaurant/trashtrestaurant1.mdl
35	476,792	41,6688	124,335	0	0	0	6	1	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
36	257,345	-229,813	14,0031	0	3	0	6	1	1024	1800	models/scenery/furniture/tablecafe/tablecafe.mdl
37	308,491	115,339	53,2061	0	90	0	0	17	2250	2500	models/scenery/furniture/microwave/microwave_blink.mdl
38	308,491	115,339	39,0847	0	90	0	0	17	2250	2500	models/scenery/furniture/microwave/microwave_blink.mdl
39	476,625	104,701	1,0131	0	270	0	6	0	0	0	models/scenery/furniture/desk_executive/desk_executive.mdl
40	506,944	108,459	36	0	253	0	6	16	0	0	models/scenery/furniture/PhoneOffice/PhoneOffice.mdl
41	413,48	-124,203	69,4012	0	22	0	6	18	0	0	models/scenery/structural/chateau/column.mdl
42	402,192	-439,535	0,05632	0	180	0	6	0	0	0	models/scenery/misc/trashtrestaurant/trashtrestaurant1.mdl
43	95,1814	-447,568	0	0	360	0	6	0	0	0	models/scenery/misc/trashcafe/trashcafe.mdl
44	413,48	-292,203	69,4012	0	22	0	6	18	0	0	models/scenery/structural/chateau/column.mdl
45	395	-503,079	126	0	135	0	6	0	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
46	395	-376,079	126	0	135	0	6	0	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
47	402,192	-63,5348	0,05632	0	180	0	6	0	0	0	models/scenery/misc/trashtrestaurant/trashtrestaurant1.mdl
48	480,801	-57,138	74,7004	0	348,5	0	6	2	0	0	models/scenery/structural/skyline/clothes.mdl
49	467,676	-56,951	74,7004	0	180	0	6	2	0	0	models/scenery/structural/skyline/clothes.mdl
50	0	0	0	0	0	0	0	0	0	0	models/scenery/misc/609handle/609handle.mdl
