ObjNum	OriginX	OriginY	OriginZ	Pitch	Roll	Yaw	Solid	Flags	FadeMinDist	FadeMaxDist	PropTypeEntry
0	201,328	48,3959	81,8414	0	175	0	6	16	0	0	models/scenery/misc/Cash_Register/Cash_Registerdrawr.mdl
1	168	32	49	0	180	0	6	0	0	0	models/scenery/furniture/barstool/barstoolb.mdl
2	480	312	38,4604	0	270	0	6	16	0	0	models/scenery/furniture/CoffeeTable1/CoffeeTable1.mdl
3	308,179	72,6181	44,121	0	10	0	6	0	0	0	models/scenery/structural/malkavian/loungechair.mdl
4	375,944	149,996	61,7994	0	270	0	6	0	0	0	models/scenery/structural/malkavian/sofa.mdl
5	385,68	92,8321	38,9698	0	0	0	6	0	0	0	models/scenery/furniture/coffeetable1/coffeetable1.mdl
6	229,196	55,9487	33	0	179,5	0	6	18	0	0	models/scenery/furniture/grandfather_clock/grandfather_clock.mdl
7	375,944	39,9963	61,7994	0	90	0	6	0	0	0	models/scenery/structural/malkavian/sofa.mdl
8	307,127	129,452	44,121	0	343	0	6	0	0	0	models/scenery/structural/malkavian/loungechair.mdl
9	455,381	130,283	44,121	0	191	0	6	0	0	0	models/scenery/structural/malkavian/loungechair.mdl
10	463,964	68,8036	44,121	0	164	0	6	0	0	0	models/scenery/structural/malkavian/loungechair.mdl
11	474,494	244,008	44,121	0	86,5	0	6	0	0	0	models/scenery/structural/malkavian/loungechair.mdl
12	120,382	123,53	116,588	0	179,5	0	6	16	0	0	models/scenery/structural/sconce/sconce.mdl
13	127	264	62,0028	0	0	0	6	0	0	0	models/scenery/structural/tseng/cabineta.mdl
14	373,05	-110,949	44,121	0	91	0	6	0	0	0	models/scenery/structural/malkavian/loungechair.mdl
15	371,072	-61	39	0	180	0	6	0	0	0	models/scenery/furniture/coffeetable1/coffeetable1.mdl
16	379,321	-7,18776	61,7994	0	271	0	6	0	0	0	models/scenery/structural/malkavian/sofa.mdl
17	432,477	-101,001	44,121	0	139	0	6	0	0	0	models/scenery/structural/malkavian/loungechair.mdl
18	447,381	-38,717	44,121	0	191	0	6	0	0	0	models/scenery/structural/malkavian/loungechair.mdl
19	314,5	-103,641	44,121	0	43	0	6	0	0	0	models/scenery/structural/malkavian/loungechair.mdl
20	307,632	-42,8391	44,121	0	345	0	6	0	0	0	models/scenery/structural/malkavian/loungechair.mdl
21	120,382	-11,4551	116,411	0	179,5	0	6	16	0	0	models/scenery/structural/sconce/sconce.mdl
22	124	-99	79,4702	0	0	0	0	16	0	0	models/scenery/structural/vesuvius/bar.mdl
23	152,827	-80,0118	48,9097	0	0	0	6	0	0	0	models/scenery/furniture/barstool/barstoolb.mdl
24	152,827	-120,012	48,9097	0	0	0	6	0	0	0	models/scenery/furniture/barstool/barstoolb.mdl
25	216	-138	62,0028	0	90	0	6	0	0	0	models/scenery/structural/tseng/cabineta.mdl
26	216	-138	91,0123	0	90	0	0	0	0	0	models/scenery/furniture/DeskClock/DeskClock.mdl
27	371	-61	40	0	180	180	6	0	0	0	models/scenery/furniture/coffeetable1/coffeetable1.mdl
28	386	93	40	0	180	-180	6	0	0	0	models/scenery/furniture/coffeetable1/coffeetable1.mdl
29	480	312	39	0	270	-180	6	16	0	0	models/scenery/furniture/CoffeeTable1/CoffeeTable1.mdl
30	0	0	0	0	0	0	0	0	0	0	models/scenery/misc/Cash_Register/Cash_Registerdrawr.mdl
